Trade Id,Exchange,Exchange Trade ID,Client Account ID,Product Code,Date,Opening/Closing,Buy/Sell,Qty,Trade Price,Premium(paid or held),Contract ID,Contract Size,Contract Value,Premium Value,Premium Deadline,Product Type,Option Type,Broker Account,Strike Price,Currency,Last Action
20220330000001RZ,CEDX,20220330000001RZ,PAMCACC1,RWEO,20220330,0,Buy,57.0,0.01,Paid,9920_O_C_20231020_0_160.0,100.0,0.0,-57.0,20220330,Option,Call,PAMBRO1,160.0,EUR,Insert
20220330000001JG,EURX,20220330000001JG,PATXXX,FGBL,20220330,0,Buy,1.0,155.0,Undef,3774_F_F_20221200,100000.0,-155000.0,0.0,19000101,Future,Undef,PATBRK,0.0,EUR,Charges
20220330000000NX,EURX,20220330000000NX,PATXXX,FGBL,20220330,0,Sell,150.0,162.0,Undef,3774_F_F_20221200,100000.0,24300000.0,0.0,19000101,Future,Undef,PATBRK,0.0,EUR,ReverseP+S
20220330000000NV,EURX,20220330000000NV,PATXXX,FGBL,20220330,0,Buy,100.0,160.0,Undef,3774_F_F_20221200,100000.0,-16000000.0,0.0,19000101,Future,Undef,PATBRK,0.0,EUR,ReverseP+S
20220330000001RY,COLL,20220330000001RY,PATXXX,AMAZ,20220330,0,Buy,150.0,300.0,Undef,AMAZ_U_SEC_20220401,1.0,-45000.0,0.0,19000101,Underlying,Undef,PATBRK,0.0,USD,ReverseExercise
20220330000001RW,OCC,20220330000001RW,PATXXX,AMZN,20220330,0,Buy,10.0,2.75,Paid,2622_O_C_20230120_0_300.0,150.0,0.0,-4125.0,20220330,Option,Call,PATBRK,300.0,USD,ReverseExercise
20220330000001RU,CME,20220330000001RU,PAMCACC1,4BP,20220330,0,Buy,25.0,0.114,Paid,1F54_O_C_20220400_0_1.215,62500.0,0.0,-1781.25,20220330,Option,Call,PAMBRO1,1.215,USD,Amend
20220330000001RT,IFED,20220330000001RT,PAMUSOM1,AFM,20220330,0,Sell,9.0,125.0,Undef,1F04_F_F_20240600,100.0,112500.0,0.0,19000101,Future,Undef,PAMUSBK2,0.0,USD,Amend
20220330000001RS,IFED,20220330000001RS,PAMCACC4,AFM,20220330,0,Sell,9.0,125.0,Undef,1F04_F_F_20240600,100.0,112500.0,0.0,19000101,Future,Undef,PAMBRO1,0.0,USD,Amend
20220330000001RR,IFED,20220330000001RR,PAMUSOM1,AFM,20220330,0,Buy,23.0,56.0,Undef,1F04_F_F_20240600,100.0,-128800.0,0.0,19000101,Future,Undef,PAMUSBK2,0.0,USD,Amend
20220330000001RQ,IFED,20220330000001RQ,PAMCACC4,AFM,20220330,0,Buy,23.0,56.0,Undef,1F04_F_F_20240600,100.0,-128800.0,0.0,19000101,Future,Undef,PAMBRO1,0.0,USD,Amend
20220330000001QZ,EURX,20220330000001QZ,WNTFRC4,FGBL,20220330,0,Buy,3.0,156.2,Undef,3774_F_F_20240600,100000.0,-468600.0,0.0,19000101,Future,Undef,WNTFRB1,0.0,EUR,Transfer
20220330000001RF,COMX,20220330000001RF,CLIENT1,XGD,20220330,0,Buy,90.0,1.0,Paid,2110_O_C_20230900_0_100.0,100.0,0.0,-9000.0,20220330,Option,Call,LMEOSA,100.0,USD,P+S
20220330000001RG,COMX,20220330000001RG,CLIENT1,XGD,20220330,0,Sell,37.0,1.1,Paid,2110_O_C_20230900_0_100.0,100.0,0.0,4070.0,20220330,Option,Call,LMEOSA,100.0,USD,P+S
20220330000001RI,COMX,20220330000001RI,CLIENT1,XGD,20220330,0,Sell,8.0,100.0,Undef,2110_F_F_20231000,100.0,80000.0,0.0,19000101,Future,Undef,LMEOSA,0.0,USD,Assigned
20220330000001RH,COMX,20220330000001RH,CLIENT1,XGD,20220330,0,Buy,5.0,100.0,Undef,2110_F_F_20231000,100.0,-50000.0,0.0,19000101,Future,Undef,LMEOSA,0.0,USD,Exercise
20220330000001RE,ME,20220330000001RE,PAMCACC1,MSXH,20220330,0,Buy,2000.0,99.0,Undef,R417_F_F_20240600,500.0,-99000000.0,0.0,19000101,Future,Undef,PAMBRO1,0.0,CAD,Insert
20220330000001RD,ME,20220330000001RD,PAMCACC1,MSXH,20220330,0,Buy,1000.0,99.0,Undef,R417_F_F_20240300,500.0,-49500000.0,0.0,19000101,Future,Undef,PAMBRO1,0.0,CAD,Insert
20220330000001QL,IFLL,20220330000001QL,DJEIMP3,LST,20220330,0,Buy,3.0,5.0,Undef,0151_F_F_20220700,500000.0,-1143750.0,0.0,19000101,Future,Undef,DJEB01,0.0,GBP,P+S
20220330000001QP,IFLL,20220330000001QP,DJEIMP3,LST,20220330,0,Sell,0.0,101.0,Undef,0151_F_F_20220700,500000.0,0.0,0.0,19000101,Future,Undef,DJEB01,0.0,GBP,P+S
20220330000001QJ,IFLL,IFLL_20220330_REF000000002,DJEIMP3,LST,20220330,0,Buy,2.0,123.0,Undef,0151_F_F_20220700,500000.0,-1057500.0,0.0,19000101,Future,Undef,DJEB01,0.0,GBP,Charges
20220330000001QM,IFLL,20220330000001QM,DJEIMP3,LST,20220330,0,Buy,4.0,5.0,Undef,0151_F_F_20220700,500000.0,-1525000.0,0.0,19000101,Future,Undef,DJEB01,0.0,GBP,Deliver
20220330000001R8,IFLO,20220330000001R8,DJEIMP3,GLV,20220330,0,Buy,24.0,3.0,Paid,EO14_O_C_20220530_0_420.0,1000.0,0.0,-720.0,20220330,Option,Call,DJEB01,420.0,GBP,Exercise
20220330000001RB,IFLL,20220330000001RB,DJEIMP3,LST,20220330,0,Buy,1.0,95.0,Undef,0151_F_F_20220300,500000.0,-493750.0,0.0,19000101,Future,Undef,DJEB01,0.0,GBP,Exercise
20220330000001R7,IFLL,20220330000001R7,DJEIMP3,LST,20220330,0,Buy,4.0,2.0,Held,0151_O_C_20220300_0_95.0,500000.0,-10000.0,-10000.0,20220330,Option,Call,DJEB01,95.0,GBP,Exercise
20220330000001RA,IFLL,20220330000001RA,DJEIMP3,LST,20220330,0,Buy,4.0,122.0,Undef,0151_F_F_20220700,500000.0,-2110000.0,0.0,19000101,Future,Undef,DJEB01,0.0,GBP,Insert
20220330000001QK,IFLL,IFLL_20220330_REF000000003,DJEIMP3,LST,20220330,0,Buy,1.0,123.0,Undef,0151_F_F_20220700,500000.0,-528750.0,0.0,19000101,Future,Undef,DJEB01,0.0,GBP,Deliver
20220330000001R9,IFLL,20220330000001R9,DJEIMP3,LST,20220330,0,Sell,0.0,124.0,Undef,0151_F_F_20220700,500000.0,0.0,0.0,19000101,Future,Undef,DJEB01,0.0,GBP,P+S
2022033000000082,CME,2022033000000082,CLIENT1,ED1,20220330,0,Sell,1.0,1.0,Paid,2700_O_C_20220400_0_97.625,1000000.0,0.0,2500.0,20220330,Option,Call,BROKER,97.625,USD,Book
20220330000001R6,CME,20220330000001R6,DJEC02,ED1,20220330,0,Buy,3.0,3.0,Undef,2700_F_F_20220500,1000000.0,-2272500.0,0.0,19000101,Future,Undef,DJEB01,0.0,USD,Insert
20220330000001R5,CEDX,20220330000001R5,PAMCACC1,CEAB,20220330,0,Buy,57.0,0.01,Paid,6W67_O_C_20231222_1_2300.0,1000.0,0.0,-570.0,20220330,Option,Call,PAMBRO1,2300.0,CHF,Insert
20220330000001R2,CBT,20220330000001R2,USA001,TN1,20220330,0,Buy,1.0,122.0,Undef,2355_F_F_20220600,100000.0,-122000.0,0.0,19000101,Future,Undef,USAB01,0.0,USD,Charges
20220330000001R3,CBT,20220330000001R3,USA001,TN1,20220330,0,Buy,1.0,122.0,Undef,2355_F_F_20220600,100000.0,-122000.0,0.0,19000101,Future,Undef,USAB01,0.0,USD,Charges
20220330000000AX,CME,20220330000000AX,RLACC2,ED1,20220330,Closing,Buy,700.0,95.0,Undef,2700_F_F_20250600,1000000.0,-691250000.0,0.0,19000101,Future,Undef,RLCLEAR1,0.0,USD,Amend
20220330000001R1,EURX,20220330000001R1,WNTFRC3,FGBL,20220330,0,Buy,4.0,156.4,Undef,3774_F_F_20240600,100000.0,-625600.0,0.0,19000101,Future,Undef,WNTFRBNONE,0.0,EUR,Insert
20220330000001R0,EURX,20220330000001R0,WNTFRC3,FGBL,20220330,0,Buy,3.0,156.3,Undef,3774_F_F_20240600,100000.0,-468900.0,0.0,19000101,Future,Undef,WNTFRB3,0.0,EUR,Book
20220330000001QY,EURX,20220330000001QY,WNTFRC3,FGBL,20220330,0,Buy,1.0,156.1,Undef,3774_F_F_20240300,1.0,-1.56,0.0,19000101,Future,Undef,WNTFRBNONE,0.0,EUR,Insert
20220330000001QX,CBT,20220330000001QX,DLS001,C,20220330,0,Buy,1000.0,0.01,Paid,2385_O_C_20220500_0_200.0,5000.0,0.0,-500.0,20220330,Option,Call,CANADABR,200.0,USD,Insert
20220330000001QW,EURX,20220330000001QW,PAMCACC5,FGBL,20220330,0,Sell,59.0,136.0,Undef,3774_F_F_20230900,1.0,80.24,0.0,19000101,Future,Undef,PAMBRO1,0.0,EUR,Insert
20220330000001QV,EURX,20220330000001QV,PAMCACC5,FGBL,20220330,0,Sell,23.0,146.0,Undef,3774_F_F_20230900,1.0,33.58,0.0,19000101,Future,Undef,PAMBRO1,0.0,EUR,Insert
20220330000001QU,EURX,20220330000001QU,PAMCACC5,FGBL,20220330,0,Sell,49.0,132.0,Undef,3774_F_F_20240300,1.0,64.68,0.0,19000101,Future,Undef,PAMBRO1,0.0,EUR,Insert
20220330000001QT,EURX,20220330000001QT,PAMCACC5,FGBL,20220330,0,Buy,57.0,156.0,Undef,3774_F_F_20240300,1.0,-88.92,0.0,19000101,Future,Undef,PAMBRO1,0.0,EUR,Amend
20220330000000HP,IFEU,20220330000000HP,PAMUSAC2,IBFL,20220330,0,Sell,33.0,15.0,Undef,P997_F_F_20221200,1000.0,495000.0,0.0,19000101,Future,Undef,PAMUSBK2,0.0,USD,Book
20220330000000HO,IFEU,20220330000000HO,PAMUSOM1,IBFL,20220330,0,Buy,157.0,12.0,Undef,P997_F_F_20221200,1000.0,-1884000.0,0.0,19000101,Future,Undef,PAMUSBK2,0.0,USD,Book
20220330000000HQ,IFEU,20220330000000HQ,PAMUSOM1,IBFL,20220330,0,Sell,33.0,15.0,Undef,P997_F_F_20221200,1000.0,495000.0,0.0,19000101,Future,Undef,PAMUSBK2,0.0,USD,Book
20220330000000HN,IFEU,20220330000000HN,PAMUSAC2,IBFL,20220330,0,Buy,157.0,12.0,Undef,P997_F_F_20221200,1000.0,-1884000.0,0.0,19000101,Future,Undef,PAMUSBK2,0.0,USD,Book
20220330000000AL,IFLX,20220330000000AL,PAMOMNI1,IEC,20220330,0,Buy,37.0,2078.0,Undef,HT58_F_F_20221200,10.0,-768860.0,0.0,19000101,Future,Undef,PAMBRO1,0.0,EUR,Book
20220330000000AF,IFLX,20220330000000AF,PAMFIRM1,CA,20220330,0,Buy,57.0,1780.0,Undef,0600_F_F_20231200,10.0,-1014600.0,0.0,19000101,Future,Undef,PAMBRO1,0.0,GBP,Book
